0	1	一直都很喜欢一加，买了很多款了，这次也一直等着一加，但是这次非常不满意，玩吃鸡竟然非常不流畅，不支持高刷新率，而且一直有抖动，玩的非常不开心，还没有用一加6玩的舒服。
1	1	外形外观：一般，中规中矩 屏幕音效：还可以，算不错了 拍照效果：还行，可圈可点 运行速度：非常快，唯一优势了 其他特色：一般吧，系统简洁，没用过的用不惯，手机整体不错，性价比不高，但比华为性价比好多了，准备退货了
2	1	外形外观：瑕疵品出厂 不讲究
3	1	拍照效果：相机都打不开！！谈什么拍照效果？？！！
4	1	屏幕音效：有亮度不匀的情况  上下对比明显
5	1	系统不太好用，指南针都没有
6	1	慢动作拍照屏幕闪的厉害，切换模式也会闪。
7	1	bug 有点多 话说管理两个字哪里来的？
8	1	屏幕音效：屏幕有白斑黑块 其他特色：你们的8Pro有这些问题吗
9	1	运行速度：用了一天 偶尔会出现黑屏不知道什么情况
10	1	12hz的屏却不支持和平精英90hz咋想的？
11	1	玩套路，先把不好的颜色卖，然后又出好看的颜色，恶心
12	1	卡都装不上去
13	1	吹了那么多的屏幕，6000块钱的价格，拿到手后才2天，就发现屏幕会有这样的表现。仔细看附图的箭头标示，文字是扭曲的，截图后到电脑看也是扭曲的
14	1	5g形同虚设，我玩个游戏，居然卡死了，拍照也一般，不值6000这个价
15	1	物理开关机键无法关机，通话质量差，声音断断续续时有时无。客服回答问题牛头不对马嘴
16	1	这是赶工吧？？摄像头镜片和屏幕边缘的涂层没涂好不能好好检查的吗？也不知道质检是干啥用的，换货也要好多天&hellip;
17	1	外形外观：还行 屏幕音效：凑合 拍照效果：够用 运行速度：有时候很慢不好受系统跟个屁一样 待机时间：肯定不长但是能接受 其他特色：没什么特色，曲面屏误触都不做，主题商店没有，系统跟个屁一样一大堆全面屏不适配，王者领个奖励都领不了，根本显示不全，qq上方都不能适配，bug一大堆小问题，系统简直没法用，屏幕吹的特别好，虽然也可以但是并没有特别好，主要是适配系统还有误触这几个方面直接不能用自从一加7pro出了以后。一加手机系统越做越差。
